IBDD-CC,IBDD-ACC,IBDD-MS,IBDD-DyS,real_IBDD,baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline,IKS-CC,IKS-ACC,IKS-MS,IKS-DyS,real_IKS
0.21,0.14,0.15,0.2,0.16,0.24,0.13,0.16,0.19,0.16,0.25,0.15,0.15,0.17,0.16
0.21,0.14,0.15,0.2,0.16,0.24,0.13,0.16,0.19,0.16,0.24,0.13,0.15,0.16,0.16
0.2,0.12,0.13,0.18,0.16,0.23,0.11,0.14,0.16,0.16,0.23,0.12,0.12,0.14,0.16
0.21,0.14,0.15,0.2,0.16,0.24,0.13,0.16,0.19,0.16,0.24,0.13,0.15,0.16,0.16
0.21,0.14,0.15,0.2,0.16,0.24,0.13,0.16,0.19,0.16,0.24,0.13,0.15,0.16,0.16
0.21,0.14,0.15,0.2,0.16,0.24,0.13,0.16,0.18,0.16,0.24,0.13,0.15,0.16,0.16
0.21,0.14,0.15,0.2,0.16,0.23,0.11,0.16,0.17,0.16,0.23,0.12,0.15,0.15,0.16
0.21,0.14,0.15,0.2,0.16,0.23,0.11,0.16,0.17,0.16,0.23,0.12,0.15,0.15,0.16
0.21,0.14,0.15,0.2,0.16,0.23,0.11,0.15,0.17,0.16,0.23,0.12,0.15,0.15,0.16
0.22,0.15,0.17,0.2,0.16,0.24,0.13,0.16,0.18,0.16,0.24,0.13,0.15,0.16,0.16
0.23,0.17,0.18,0.21,0.16,0.25,0.15,0.16,0.18,0.16,0.25,0.15,0.15,0.16,0.16
0.23,0.17,0.18,0.21,0.16,0.25,0.15,0.16,0.18,0.16,0.25,0.15,0.15,0.16,0.16
0.24,0.19,0.18,0.21,0.17,0.26,0.16,0.17,0.19,0.17,0.26,0.17,0.16,0.17,0.17
0.24,0.19,0.18,0.21,0.17,0.26,0.16,0.17,0.19,0.17,0.26,0.17,0.16,0.17,0.17
0.25,0.2,0.21,0.23,0.18,0.27,0.18,0.19,0.21,0.18,0.27,0.18,0.18,0.19,0.18
0.24,0.19,0.2,0.21,0.18,0.26,0.16,0.18,0.21,0.18,0.26,0.17,0.17,0.18,0.18
0.23,0.17,0.18,0.19,0.17,0.25,0.15,0.16,0.19,0.17,0.25,0.15,0.15,0.16,0.17
0.22,0.15,0.15,0.17,0.16,0.24,0.13,0.14,0.16,0.16,0.24,0.13,0.13,0.14,0.16
0.22,0.15,0.15,0.17,0.15,0.24,0.13,0.14,0.16,0.15,0.24,0.13,0.13,0.14,0.15
0.22,0.15,0.15,0.17,0.16,0.24,0.13,0.14,0.16,0.16,0.24,0.13,0.13,0.14,0.16
0.23,0.17,0.17,0.18,0.16,0.25,0.15,0.15,0.17,0.16,0.25,0.15,0.14,0.15,0.16
0.24,0.19,0.17,0.2,0.17,0.26,0.16,0.16,0.19,0.17,0.26,0.17,0.15,0.17,0.17
0.25,0.2,0.18,0.2,0.17,0.26,0.16,0.16,0.19,0.17,0.26,0.17,0.16,0.17,0.17
0.25,0.2,0.18,0.2,0.17,0.25,0.15,0.15,0.18,0.17,0.25,0.15,0.15,0.16,0.17
0.25,0.2,0.2,0.21,0.18,0.25,0.15,0.17,0.19,0.18,0.25,0.15,0.17,0.18,0.18
0.25,0.2,0.2,0.21,0.17,0.25,0.15,0.17,0.19,0.17,0.25,0.15,0.17,0.18,0.17
0.25,0.2,0.2,0.21,0.17,0.25,0.15,0.17,0.19,0.17,0.25,0.15,0.17,0.18,0.17
0.25,0.2,0.2,0.21,0.17,0.25,0.15,0.16,0.19,0.17,0.25,0.15,0.17,0.18,0.17
0.25,0.2,0.2,0.21,0.17,0.25,0.15,0.16,0.19,0.17,0.25,0.15,0.16,0.18,0.17
0.24,0.19,0.19,0.2,0.17,0.25,0.15,0.16,0.19,0.17,0.25,0.15,0.16,0.18,0.17
0.24,0.19,0.19,0.2,0.16,0.25,0.15,0.16,0.19,0.16,0.25,0.15,0.16,0.18,0.16
0.24,0.19,0.19,0.19,0.16,0.25,0.15,0.16,0.19,0.16,0.25,0.15,0.16,0.18,0.16
0.24,0.19,0.19,0.19,0.17,0.25,0.15,0.16,0.19,0.17,0.25,0.15,0.16,0.18,0.17
0.25,0.2,0.2,0.21,0.18,0.26,0.16,0.19,0.21,0.18,0.26,0.17,0.19,0.2,0.18
0.25,0.2,0.2,0.21,0.18,0.26,0.16,0.19,0.21,0.18,0.26,0.17,0.19,0.2,0.18
0.26,0.22,0.22,0.23,0.19,0.27,0.18,0.21,0.23,0.19,0.27,0.18,0.21,0.21,0.19
0.26,0.22,0.22,0.23,0.19,0.27,0.18,0.21,0.23,0.19,0.27,0.18,0.21,0.21,0.19
0.26,0.22,0.22,0.22,0.2,0.27,0.18,0.2,0.22,0.2,0.27,0.18,0.2,0.21,0.2
0.26,0.22,0.22,0.22,0.19,0.27,0.18,0.2,0.22,0.19,0.27,0.18,0.2,0.21,0.19
